scientific_name,common_name,order,family,iucn_status,rare_accidental,wpa_schedule,soib_priority,wh_endemic,n_recordings
Phylloscopus xanthoschistos,Gray-hooded Warbler,Passeriformes,Phylloscopidae,,no,Schedule-II,Low,no,88
Phylloscopus occipitalis,Western Crowned Warbler,Passeriformes,Phylloscopidae,,no,Schedule-II,Moderate,no,20
Periparus rufonuchalis,Rufous-naped Tit,Passeriformes,Paridae,,no,Schedule-II,Low,no,16
Sitta cashmirensis,Kashmir Nuthatch,Passeriformes,Sittidae,,no,Schedule-II,Moderate,yes,16
Corvus macrorhynchos,Large-billed Crow,Passeriformes,Corvidae,,no,Schedule-II,Low,no,14
Emberiza cia,Rock Bunting,Passeriformes,Emberizidae,,no,Schedule-II,Low,no,14
Mycerobas icterioides,Black-and-yellow Grosbeak,Passeriformes,Fringillidae,,no,Schedule-II,Low,no,14
Phylloscopus sindianus,Mountain Chiffchaff,Passeriformes,Phylloscopidae,,no,Schedule-II,,no,14
Trochalopteron lineatum,Streaked Laughingthrush,Passeriformes,Leiothrichidae,,no,Schedule-II,Low,no,14
Callacanthis burtoni,Spectacled Finch,Passeriformes,Fringillidae,,no,Schedule-II,Moderate,yes,13
Horornis fortipes,Brownish-flanked Bush Warbler,Passeriformes,Cettiidae,,no,Schedule-II,Low,no,13
Larvivora brunnea,Indian Blue Robin,Passeriformes,Muscicapidae,,no,Schedule-II,Moderate,no,13
Turdus unicolor,Tickell's Thrush,Passeriformes,Turdidae,,no,Schedule-II,Low,no,13
Leptopoecile sophiae,White-browed Tit-Warbler,Passeriformes,Aegithalidae,,no,,,no,12
Parus cinereus,Asian Tit,Passeriformes,Paridae,,no,Schedule-II,Low,no,12
Periparus ater,Coal Tit,Passeriformes,Paridae,,no,Schedule-II,Low,no,12
Pica pica,Eurasian Magpie,Passeriformes,Corvidae,,no,Schedule-II,,no,12
Ibidorhyncha struthersii,Ibisbill,Charadriiformes,Ibidorhynchidae,,no,Schedule-I,Moderate,no,11
