scientific_name,common_name,family,iucn_status,wpa_schedule,soib_priority
Acrocephalus agricola,Paddyfield Warbler,Acrocephalidae,,Schedule-II,Low
Acrocephalus bistrigiceps,Black-browed Reed Warbler,Acrocephalidae,,,
Acrocephalus concinens,Blunt-winged Warbler,Acrocephalidae,,Schedule-II,
Acrocephalus dumetorum,Blyth's Reed Warbler,Acrocephalidae,,Schedule-II,Low
Acrocephalus melanopogon,Moustached Warbler,Acrocephalidae,,Schedule-II,
Acrocephalus orientalis,Oriental Reed Warbler,Acrocephalidae,,,
Acrocephalus schoenobaenus,Sedge Warbler,Acrocephalidae,,,
Alaemon alaudipes,Greater Hoopoe-Lark,Alaudidae,,,
Alaudala heinei,Turkestan Short-toed Lark,Alaudidae,,,
Alaudala raytal,Sand Lark,Alaudidae,,Schedule-II,Moderate
Ammomanes deserti,Desert Lark,Alaudidae,,,
Anthus campestris,Tawny Pipit,Motacillidae,,Schedule-II,High
Anthus godlewskii,Blyth's Pipit,Motacillidae,,,
Anthus hodgsoni,Olive-backed Pipit,Motacillidae,,Schedule-II,High
Anthus japonicus,Siberian Pipit,Motacillidae,,Schedule-II,
Anthus richardi,Richard's Pipit,Motacillidae,,Schedule-II,Low
Anthus rufulus,Paddyfield Pipit,Motacillidae,,Schedule-II,Low
Anthus similis,Long-billed Pipit,Motacillidae,,Schedule-II,Moderate
Anthus sylvanus,Upland Pipit,Motacillidae,,Schedule-II,Low
Anthus trivialis,Tree Pipit,Motacillidae,,Schedule-II,Moderate
Argya caudata,Common Babbler,Leiothrichidae,,Schedule-II,Moderate
Argya earlei,Striated Babbler,Leiothrichidae,,Schedule-II,Low
Argya malcolmi,Large Gray Babbler,Leiothrichidae,,,
Argya striata,Jungle Babbler,Leiothrichidae,,Schedule-II,Low
Arundinax aedon,Thick-billed Warbler,Acrocephalidae,,,
Asio flammeus,Short-eared Owl,Strigidae,,Schedule-I,Low
Asio otus,Long-eared Owl,Strigidae,,Schedule-I,
Athene brama,Spotted Owlet,Strigidae,,Schedule-II,
Athene noctua,Little Owl,Strigidae,,,
Bubo bengalensis,Rock Eagle-Owl,Strigidae,,Schedule-I,
Bucanetes githagineus,Trumpeter Finch,Fringillidae,,,
Cacomantis passerinus,Gray-bellied Cuckoo,Cuculidae,,Schedule-II,Low
Cacomantis sonneratii,Banded Bay Cuckoo,Cuculidae,,Schedule-II,Moderate
Calandrella brachydactyla,Greater Short-toed Lark,Alaudidae,,Schedule-II,Moderate
Calandrella dukhunensis,Mongolian Short-toed Lark,Alaudidae,,,
Calliope calliope,Siberian Rubythroat,Muscicapidae,,Schedule-II,Low
Calliope tschebaiewi,Chinese Rubythroat,Muscicapidae,,,
Carduelis caniceps,Gray-crowned Goldfinch,Fringillidae,,Schedule-II,Low
Carpodacus puniceus,Red-fronted Rosefinch,Fringillidae,,Schedule-II,
Carpodacus rodopeplus,Spot-winged Rosefinch,Fringillidae,,,
Carpodacus vinaceus,Vinaceous Rosefinch,Fringillidae,,,
Cecropis daurica,Eastern Red-rumped Swallow,Hirundinidae,,Schedule-II,Low
Cecropis rufula,European Red-rumped Swallow,Hirundinidae,,,
Centropus sinensis,Greater Coucal,Cuculidae,,Schedule-II,Low
Cephalopyrus flammiceps,Fire-capped Tit,Paridae,,Schedule-II,
Cercotrichas galactotes,Rufous-tailed Scrub-Robin,Muscicapidae,,Schedule-II,
Cisticola exilis,Golden-headed Cisticola,Cisticolidae,,,
Cisticola juncidis,Zitting Cisticola,Cisticolidae,,Schedule-II,Low
Clamator jacobinus,Pied Cuckoo,Cuculidae,,Schedule-II,Low
Coccothraustes coccothraustes,Hawfinch,Fringillidae,,Schedule-II,
Copsychus fulicatus,Indian Robin,Muscicapidae,,Schedule-II,Low
Copsychus saularis,Oriental Magpie-Robin,Muscicapidae,,Schedule-II,Low
Cuculus micropterus,Indian Cuckoo,Cuculidae,,Schedule-II,Low
Curruca communis,Greater Whitethroat,Sylviidae,,Schedule-II,
Curruca crassirostris,Eastern Orphean Warbler,Sylviidae,,,
Curruca nana,Asian Desert Warbler,Sylviidae,,Schedule-II,
Curruca nisoria,Barred Warbler,Sylviidae,,,
Cyanistes cyanus,Azure Tit,Paridae,,,
Cyornis glaucicomans,Chinese Blue Flycatcher,Muscicapidae,,,
Cyornis rubeculoides,Blue-throated Flycatcher,Muscicapidae,,Schedule-II,Low
Cyornis tickelliae,Tickell's Blue Flycatcher,Muscicapidae,,Schedule-II,Low
Delichon dasypus,Asian House-Martin,Hirundinidae,,Schedule-II,Moderate
Delichon urbicum,Western House-Martin,Hirundinidae,,Schedule-II,
Dendrocopos hyperythrus,Rufous-bellied Woodpecker,Picidae,,Schedule-II,Low
Dendrocopos macei,Fulvous-breasted Woodpecker,Picidae,,Schedule-II,Low
Dendronanthus indicus,Forest Wagtail,Motacillidae,,Schedule-I,High
Dinopium benghalense,Black-rumped Flameback,Picidae,,Schedule-II,Low
Dryobates cathpharius,Crimson-naped Woodpecker,Picidae,,,
Emberiza aureola,Yellow-breasted Bunting,Emberizidae,Critically endangered,Schedule-I,High
Emberiza bruniceps,Red-headed Bunting,Emberizidae,,Schedule-II,Low
Emberiza buchanani,Gray-necked Bunting,Emberizidae,,Schedule-II,Moderate
Emberiza citrinella,Yellowhammer,Emberizidae,,Schedule-II,
Emberiza godlewskii,Godlewski's Bunting,Emberizidae,,,
Emberiza hortulana,Ortolan Bunting,Emberizidae,,Schedule-II,
Emberiza lathami,Crested Bunting,Emberizidae,,Schedule-II,Moderate
Emberiza leucocephalos,Pine Bunting,Emberizidae,,Schedule-II,
Emberiza melanocephala,Black-headed Bunting,Emberizidae,,Schedule-II,Low
Emberiza pusilla,Little Bunting,Emberizidae,,Schedule-II,Low
Emberiza rutila,Chestnut Bunting,Emberizidae,,,
Emberiza schoeniclus,Reed Bunting,Emberizidae,,Schedule-II,
Emberiza spodocephala,Black-faced Bunting,Emberizidae,,,
Emberiza striolata,Striolated Bunting,Emberizidae,,Schedule-II,Low
Enicurus scouleri,Little Forktail,Muscicapidae,,Schedule-II,Moderate
Eremophila alpestris,Horned Lark,Alaudidae,,Schedule-II,Low
Eremopterix griseus,Ashy-crowned Sparrow-Lark,Alaudidae,,Schedule-II,Moderate
Eremopterix nigriceps,Black-crowned Sparrow-Lark,Alaudidae,,,
Eudynamys scolopaceus,Asian Koel,Cuculidae,,Schedule-II,Low
Eumyias thalassinus,Verditer Flycatcher,Muscicapidae,,Schedule-II,Low
Ficedula erithacus,Slaty-backed Flycatcher,Muscicapidae,,,
Ficedula hyperythra,Snowy-browed Flycatcher,Muscicapidae,,,
Ficedula parva,Red-breasted Flycatcher,Muscicapidae,,Schedule-II,Low
Ficedula strophiata,Rufous-gorgeted Flycatcher,Muscicapidae,,Schedule-II,High
Ficedula westermanni,Little Pied Flycatcher,Muscicapidae,,,
Fringilla coelebs,Common Chaffinch,Fringillidae,,Schedule-II,
Fringilla montifringilla,Brambling,Fringillidae,,Schedule-II,
Garrulax leucolophus,White-crested Laughingthrush,Leiothrichidae,,Schedule-II,Low
Geokichla citrina,Orange-headed Thrush,Turdidae,,Schedule-II,Moderate
Geokichla wardii,Pied Thrush,Turdidae,,,
Glaucidium cuculoides,Asian Barred Owlet,Strigidae,,Schedule-II,Low
Glaucidium radiatum,Jungle Owlet,Strigidae,,,
Grammatoptila striata,Striated Laughingthrush,Leiothrichidae,,,
Grandala coelicolor,Grandala,Turdidae,,Schedule-II,Moderate
Heterophasia capistrata,Rufous Sibia,Leiothrichidae,,Schedule-II,Low
Hierococcyx sparverioides,Large Hawk-Cuckoo,Cuculidae,,,
Hierococcyx varius,Common Hawk-Cuckoo,Cuculidae,,Schedule-II,Low
Hirundo rustica,Barn Swallow,Hirundinidae,,Schedule-II,Moderate
Hirundo smithii,Wire-tailed Swallow,Hirundinidae,,Schedule-II,Low
Ianthocincla rufogularis,Rufous-chinned Laughingthrush,Leiothrichidae,,Schedule-II,Moderate
Iduna caligata,Booted Warbler,Acrocephalidae,,Schedule-II,Low
Iduna rama,Sykes's Warbler,Acrocephalidae,,Schedule-II,
Ketupa coromanda,Dusky Eagle-Owl,Strigidae,,,
Ketupa flavipes,Tawny Fish-Owl,Strigidae,,,
Ketupa nipalensis,Spot-bellied Eagle-Owl,Strigidae,,,
Ketupa zeylonensis,Brown Fish-Owl,Strigidae,,Schedule-I,Moderate
Leiopicus mahrattensis,Yellow-crowned Woodpecker,Picidae,,Schedule-I,High
Leiothrix lutea,Red-billed Leiothrix,Leiothrichidae,,Schedule-II,Low
Linaria cannabina,Eurasian Linnet,Fringillidae,,,
Lophophanes dichrous,Gray-crested Tit,Paridae,,,
Loxia curvirostra,Red Crossbill,Fringillidae,,Schedule-II,
Machlolophus xanthogenys,Himalayan Black-lored Tit,Paridae,,Schedule-II,Low
Melanocorypha bimaculata,Bimaculated Lark,Alaudidae,,Schedule-II,
Mirafra javanica,Singing Bushlark,Alaudidae,,Schedule-II,Moderate
Monticola rufiventris,Chestnut-bellied Rock-Thrush,Muscicapidae,,Schedule-II,Moderate
Monticola saxatilis,Rufous-tailed Rock-Thrush,Muscicapidae,,Schedule-II,
Motacilla flava,Western Yellow Wagtail,Motacillidae,,Schedule-II,Moderate
Motacilla maderaspatensis,White-browed Wagtail,Motacillidae,,Schedule-II,Low
Muscicapa dauurica,Asian Brown Flycatcher,Muscicapidae,,Schedule-II,Low
Muscicapa ferruginea,Ferruginous Flycatcher,Muscicapidae,,,
Muscicapa striata,Spotted Flycatcher,Muscicapidae,,Schedule-II,
Mycerobas affinis,Collared Grosbeak,Fringillidae,,Schedule-II,Moderate
Mycerobas carnipes,White-winged Grosbeak,Fringillidae,,Schedule-II,
Niltava sundara,Rufous-bellied Niltava,Muscicapidae,,Schedule-II,Low
Oenanthe albonigra,Hume's Wheatear,Muscicapidae,,,
Oenanthe chrysopygia,Persian Wheatear,Muscicapidae,,Schedule-II,
Oenanthe fusca,Brown Rock Chat,Muscicapidae,,Schedule-II,Low
Oenanthe isabellina,Isabelline Wheatear,Muscicapidae,,Schedule-II,High
Oenanthe oenanthe,Northern Wheatear,Muscicapidae,,Schedule-II,
Oenanthe picata,Variable Wheatear,Muscicapidae,,Schedule-II,High
Oenanthe pleschanka,Pied Wheatear,Muscicapidae,,Schedule-II,
Orthotomus sutorius,Common Tailorbird,Cisticolidae,,Schedule-II,Low
Otus bakkamoena,Indian Scops-Owl,Strigidae,,Schedule-II,
Otus brucei,Pallid Scops-Owl,Strigidae,,,
Otus lettia,Collared Scops-Owl,Strigidae,,Schedule-II,
Otus scops,Eurasian Scops-Owl,Strigidae,,Schedule-II,
Otus spilocephalus,Mountain Scops-Owl,Strigidae,,Schedule-II,
Periparus rubidiventris,Rufous-vented Tit,Paridae,,Schedule-II,High
Phoenicurus auroreus,Daurian Redstart,Muscicapidae,,,
Phoenicurus coeruleocephala,Blue-capped Redstart,Muscicapidae,,Schedule-II,Moderate
Phoenicurus erythronotus,Rufous-backed Redstart,Muscicapidae,,Schedule-II,
Phoenicurus frontalis,Blue-fronted Redstart,Muscicapidae,,Schedule-II,Moderate
Phoenicurus hodgsoni,Hodgson's Redstart,Muscicapidae,,,
Phylloscopus burkii,Green-crowned Warbler,Phylloscopidae,,,
Phylloscopus collybita,Common Chiffchaff,Phylloscopidae,,Schedule-II,Low
Phylloscopus inornatus,Yellow-browed Warbler,Phylloscopidae,,,
Phylloscopus maculipennis,Ashy-throated Warbler,Phylloscopidae,,Schedule-II,Moderate
Phylloscopus neglectus,Plain Leaf Warbler,Phylloscopidae,,,
Phylloscopus nitidus,Green Warbler,Phylloscopidae,,Schedule-II,
Phylloscopus subviridis,Brooks's Leaf Warbler,Phylloscopidae,,,
Phylloscopus whistleri,Whistler's Warbler,Phylloscopidae,,Schedule-II,Low
Picumnus innominatus,Speckled Piculet,Picidae,,Schedule-II,Low
Picus canus,Gray-headed Woodpecker,Picidae,,Schedule-II,Low
Picus xanthopygaeus,Streak-throated Woodpecker,Picidae,,Schedule-II,Low
Plocealauda assamica,Bengal Bushlark,Alaudidae,,Schedule-II,Low
Prinia buchanani,Rufous-fronted Prinia,Cisticolidae,,,
Prinia cinereocapilla,Gray-crowned Prinia,Cisticolidae,Vulnerable,,
Prinia flaviventris,Yellow-bellied Prinia,Cisticolidae,,Schedule-II,Low
Prinia hodgsonii,Gray-breasted Prinia,Cisticolidae,,Schedule-II,Low
Prinia inornata,Plain Prinia,Cisticolidae,,Schedule-II,Low
Prinia lepida,Delicate Prinia,Cisticolidae,,Schedule-II,Low
Prinia socialis,Ashy Prinia,Cisticolidae,,Schedule-II,Low
Prinia sylvatica,Jungle Prinia,Cisticolidae,,Schedule-II,Low
Procarduelis nipalensis,Dark-breasted Rosefinch,Fringillidae,,Schedule-II,Low
Prunella atrogularis,Black-throated Accentor,Prunellidae,,Schedule-II,
Prunella collaris,Alpine Accentor,Prunellidae,,Schedule-II,Low
Prunella himalayana,Altai Accentor,Prunellidae,,Schedule-II,Moderate
Prunella immaculata,Maroon-backed Accentor,Prunellidae,,,
Pterorhinus albogularis,White-throated Laughingthrush,Leiothrichidae,,Schedule-II,Low
Pycnonotus cafer,Red-vented Bulbul,Pycnonotidae,,Schedule-II,Low
Pycnonotus leucotis,White-eared Bulbul,Pycnonotidae,,,
